City,place,SPA,SPA Name,Clean Name
Acton,Acton,1,Antelope Valley,Acton
Acton,Unincorporated - Acton,1,Antelope Valley,Acton
Agua Dulce,Agua Dulce,1,Antelope Valley,Agua Dulce
Agua Dulce,Unincorporated - Agua Dulce,1,Antelope Valley,Agua Dulce
Anaverde,Anaverde,1,Antelope Valley,Anaverde
Anaverde,Unincorporated - Anaverde,1,Antelope Valley,Anaverde
Antelope Acres,Antelope Acres,1,Antelope Valley,Antelope Acres
Antelope Acres,UNMAPPED TO LA CASE BASE,1,Antelope Valley,Antelope Acres
Boron,Boron,1,Antelope Valley,Boron
Boron,UNMAPPED TO LA CASE BASE,1,Antelope Valley,Boron
California City,California City,1,Antelope Valley,California City
California City,UNMAPPED TO LA CASE BASE,1,Antelope Valley,California City
Del Sur,Del Sur,1,Antelope Valley,Del Sur
Del Sur,Unincorporated - Del Sur,1,Antelope Valley,Del Sur
Desert View Highlands,Desert View Highlands,1,Antelope Valley,Desert View Highlands
Desert View Highlands,Unincorporated - Desert View Highlands,1,Antelope Valley,Desert View Highlands
Gorman,Gorman,1,Antelope Valley,Gorman
Gorman,UNMAPPED TO LA CASE BASE,1,Antelope Valley,Gorman
Green Valley,Green Valley,1,Antelope Valley,Green Valley
Green Valley,UNMAPPED TO LA CASE BASE,1,Antelope Valley,Green Valley
Hi Vista,Hi Vista,1,Antelope Valley,Hi Vista
Hi Vista,Unincorporated - Hi Vista,1,Antelope Valley,Hi Vista
Johannesburg,Johannesburg,1,Antelope Valley,Johannesburg
Johannesburg,UNMAPPED TO LA CASE BASE,1,Antelope Valley,Johannesburg
Lake Elizabeth,Lake Elizabeth,1,Antelope Valley,Lake Elizabeth
Lake Elizabeth,Unincorporated - Elizabeth Lake,1,Antelope Valley,Lake Elizabeth
Lake Hughes,Lake Hughes,1,Antelope Valley,Lake Hughes
Lake Hughes,Unincorporated - Lake Hughes,1,Antelope Valley,Lake Hughes
Lake Los Angeles,Lake Los Angeles,1,Antelope Valley,Lake Los Angeles
Lake Los Angeles,Unincorporated - Lake Los Angeles,1,Antelope Valley,Lake Los Angeles
Lancaster,City of Lancaster,1,Antelope Valley,Lancaster
Lancaster,Lancaster,1,Antelope Valley,Lancaster
Lancaster,Lancaster,1,Antelope Valley,Lancaster
Lancaster,Unincorporated - East Lancaster,1,Antelope Valley,Lancaster
Leona Valley,Leona Valley,1,Antelope Valley,Leona Valley
Leona Valley,Unincorporated - Leona Valley,1,Antelope Valley,Leona Valley
Littlerock,Littlerock,1,Antelope Valley,Littlerock
Littlerock,Littlerock,1,Antelope Valley,Littlerock
Littlerock,Littlerock,1,Antelope Valley,Littlerock
Littlerock,Unincorporated - Littlerock,1,Antelope Valley,Littlerock
Littlerock,Unincorporated - Littlerock/Juniper Hills,1,Antelope Valley,Littlerock
Littlerock,Unincorporated - Littlerock/Pearblossom,1,Antelope Valley,Littlerock
Littlerock/Pearblossom,Littlerock/Pearblossom,1,Antelope Valley,Littlerock
Llano,Llano,1,Antelope Valley,Llano
Llano,Unincorporated - Llano,1,Antelope Valley,Llano
Mojave,Mojave,1,Antelope Valley,Mojave
Mojave,UNMAPPED TO LA CASE BASE,1,Antelope Valley,Mojave
Monolith,Monolith,1,Antelope Valley,Monolith
Monolith,UNMAPPED TO LA CASE BASE,1,Antelope Valley,Monolith
North Edwards,North Edwards,1,Antelope Valley,North Edwards
North Edwards,UNMAPPED TO LA CASE BASE,1,Antelope Valley,North Edwards
North Lancaster,North Lancaster,1,Antelope Valley,North Lancaster
North Lancaster,Unincorporated - North Lancaster,1,Antelope Valley,North Lancaster
Palmdale,City of Palmdale,1,Antelope Valley,Palmdale
Palmdale,Palmdale,1,Antelope Valley,Palmdale
Palmdale,Palmdale,1,Antelope Valley,Palmdale
Palmdale,Unincorporated - Palmdale,1,Antelope Valley,Palmdale
Pearblossom,Pearblossom,1,Antelope Valley,Pearblossom
Pearblossom,Unincorporated - Pearblossom/Llano,1,Antelope Valley,Pearblossom
Quartz Hill,Quartz Hill,1,Antelope Valley,Quartz Hill
Quartz Hill,Unincorporated - Quartz Hill,1,Antelope Valley,Quartz Hill
Randsburg,Randsburg,1,Antelope Valley,Randsburg
Randsburg,UNMAPPED TO LA CASE BASE,1,Antelope Valley,Randsburg
Redman,Redman,1,Antelope Valley,Redman
Redman,UNMAPPED TO LA CASE BASE,1,Antelope Valley,Redman
Ridgecrest,Ridgecrest,1,Antelope Valley,Ridgecrest
Ridgecrest,UNMAPPED TO LA CASE BASE,1,Antelope Valley,Ridgecrest
Rosamond,Rosamond,1,Antelope Valley,Rosamond
Rosamond,UNMAPPED TO LA CASE BASE,1,Antelope Valley,Rosamond
Saltdale,Saltdale,1,Antelope Valley,Saltdale
Saltdale,UNMAPPED TO LA CASE BASE,1,Antelope Valley,Saltdale
Sandberg,Sandberg,1,Antelope Valley,Sandberg
Sandberg,UNMAPPED TO LA CASE BASE,1,Antelope Valley,Sandberg
South Antelope Valley,South Antelope Valley,1,Antelope Valley,South Antelope Valley
South Antelope Valley,Unincorporated - South Antelope Valley,1,Antelope Valley,South Antelope Valley
Southeast Antelope Valley,Southeast Antelope Valley,1,Antelope Valley,Southeast Antelope Valley
